No.,正誤,分野名,大分類,中分類,出典,学習日
1,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_haru/q1.html"",""平成27年春期 問1"")",2022/3/25
2,×,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_haru/q2.html"",""平成27年春期 問2"")",2022/3/25
3,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_haru/q3.html"",""平成27年春期 問3"")",2022/3/25
4,×,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_haru/q4.html"",""平成27年春期 問4"")",2022/3/25
5,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_haru/q5.html"",""平成27年春期 問5"")",2022/3/25
6,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_haru/q6.html"",""平成27年春期 問6"")",2022/3/25
7,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_haru/q7.html"",""平成27年春期 問7"")",2022/3/25
8,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_haru/q8.html"",""平成27年春期 問8"")",2022/3/25
9,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_haru/q9.html"",""平成27年春期 問9"")",2022/3/25
10,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_haru/q10.html"",""平成27年春期 問10"")",2022/3/25
11,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_haru/q11.html"",""平成27年春期 問11"")",2022/3/25
