No.,正誤,分野名,大分類,中分類,出典,学習日
1,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q1.html"",""平成29年春期 問1"")",2022/3/20
2,×,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q2.html"",""平成29年春期 問2"")",2022/3/20
3,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q3.html"",""平成29年春期 問3"")",2022/3/20
4,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q4.html"",""平成29年春期 問4"")",2022/3/20
5,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q5.html"",""平成29年春期 問5"")",2022/3/20
6,×,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q6.html"",""平成29年春期 問6"")",2022/3/20
7,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q7.html"",""平成29年春期 問7"")",2022/3/20
8,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q8.html"",""平成29年春期 問8"")",2022/3/20
9,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q9.html"",""平成29年春期 問9"")",2022/3/20
10,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q10.html"",""平成29年春期 問10"")",2022/3/20
11,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q11.html"",""平成29年春期 問11"")",2022/3/20
12,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q12.html"",""平成29年春期 問12"")",2022/3/20
13,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q13.html"",""平成29年春期 問13"")",2022/3/20
14,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q14.html"",""平成29年春期 問14"")",2022/3/20
15,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q15.html"",""平成29年春期 問15"")",2022/3/20
16,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q16.html"",""平成29年春期 問16"")",2022/3/20
17,×,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q17.html"",""平成29年春期 問17"")",2022/3/20
18,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q18.html"",""平成29年春期 問18"")",2022/3/20
19,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q19.html"",""平成29年春期 問19"")",2022/3/20
20,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q20.html"",""平成29年春期 問20"")",2022/3/20
21,×,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q21.html"",""平成29年春期 問21"")",2022/3/20
22,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q22.html"",""平成29年春期 問22"")",2022/3/20
23,○,テクノロジ系,技術要素,ヒューマンインタフェース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q23.html"",""平成29年春期 問23"")",2022/3/20
24,○,テクノロジ系,技術要素,マルチメディア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q24.html"",""平成29年春期 問24"")",2022/3/20
25,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q25.html"",""平成29年春期 問25"")",2022/3/20
26,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q26.html"",""平成29年春期 問26"")",2022/3/20
27,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q27.html"",""平成29年春期 問27"")",2022/3/20
28,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q28.html"",""平成29年春期 問28"")",2022/3/20
29,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q29.html"",""平成29年春期 問29"")",2022/3/20
