No.,正誤,分野名,大分類,中分類,出典,学習日
1,×,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q1.html"",""令和元年秋期 問1"")",2022/3/11
2,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q2.html"",""令和元年秋期 問2"")",2022/3/11
3,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q3.html"",""令和元年秋期 問3"")",2022/3/11
4,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q4.html"",""令和元年秋期 問4"")",2022/3/11
5,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q5.html"",""令和元年秋期 問5"")",2022/3/11
6,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q6.html"",""令和元年秋期 問6"")",2022/3/11
7,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q7.html"",""令和元年秋期 問7"")",2022/3/11
8,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q8.html"",""令和元年秋期 問8"")",2022/3/11
9,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q9.html"",""令和元年秋期 問9"")",2022/3/11
10,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q10.html"",""令和元年秋期 問10"")",2022/3/11
11,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q11.html"",""令和元年秋期 問11"")",2022/3/11
12,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q12.html"",""令和元年秋期 問12"")",2022/3/11
13,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q13.html"",""令和元年秋期 問13"")",2022/3/11
14,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q14.html"",""令和元年秋期 問14"")",2022/3/11
15,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q15.html"",""令和元年秋期 問15"")",2022/3/11
16,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q16.html"",""令和元年秋期 問16"")",2022/3/11
17,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q17.html"",""令和元年秋期 問17"")",2022/3/11
18,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q18.html"",""令和元年秋期 問18"")",2022/3/11
19,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q19.html"",""令和元年秋期 問19"")",2022/3/11
20,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q20.html"",""令和元年秋期 問20"")",2022/3/11
21,×,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q21.html"",""令和元年秋期 問21"")",2022/3/11
22,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q22.html"",""令和元年秋期 問22"")",2022/3/11
23,×,テクノロジ系,技術要素,ヒューマンインタフェース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q23.html"",""令和元年秋期 問23"")",2022/3/11
24,○,テクノロジ系,技術要素,マルチメディア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q24.html"",""令和元年秋期 問24"")",2022/3/11
25,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q25.html"",""令和元年秋期 問25"")",2022/3/11
26,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q26.html"",""令和元年秋期 問26"")",2022/3/11
27,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q27.html"",""令和元年秋期 問27"")",2022/3/11
28,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q28.html"",""令和元年秋期 問28"")",2022/3/11
29,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q29.html"",""令和元年秋期 問29"")",2022/3/11
30,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q30.html"",""令和元年秋期 問30"")",2022/3/11
31,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q31.html"",""令和元年秋期 問31"")",2022/3/11
32,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q32.html"",""令和元年秋期 問32"")",2022/3/11
33,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q33.html"",""令和元年秋期 問33"")",2022/3/11
34,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q34.html"",""令和元年秋期 問34"")",2022/3/11
35,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q35.html"",""令和元年秋期 問35"")",2022/3/11
36,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q36.html"",""令和元年秋期 問36"")",2022/3/11
37,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q37.html"",""令和元年秋期 問37"")",2022/3/11
38,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q38.html"",""令和元年秋期 問38"")",2022/3/11
39,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q39.html"",""令和元年秋期 問39"")",2022/3/11
40,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q40.html"",""令和元年秋期 問40"")",2022/3/11
41,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q41.html"",""令和元年秋期 問41"")",2022/3/11
42,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q42.html"",""令和元年秋期 問42"")",2022/3/11
43,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q43.html"",""令和元年秋期 問43"")",2022/3/11
44,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q44.html"",""令和元年秋期 問44"")",2022/3/11
45,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q45.html"",""令和元年秋期 問45"")",2022/3/11
46,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q46.html"",""令和元年秋期 問46"")",2022/3/11
47,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q47.html"",""令和元年秋期 問47"")",2022/3/11
48,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q48.html"",""令和元年秋期 問48"")",2022/3/11
49,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q49.html"",""令和元年秋期 問49"")",2022/3/11
50,○,テクノロジ系,開発技術,ソフトウェア開発管理技術,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q50.html"",""令和元年秋期 問50"")",2022/3/11
51,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q51.html"",""令和元年秋期 問51"")",2022/3/11
52,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q52.html"",""令和元年秋期 問52"")",2022/3/11
53,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q53.html"",""令和元年秋期 問53"")",2022/3/11
54,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q54.html"",""令和元年秋期 問54"")",2022/3/11
55,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q55.html"",""令和元年秋期 問55"")",2022/3/11
56,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q56.html"",""令和元年秋期 問56"")",2022/3/11
