No.,正誤,分野名,大分類,中分類,出典,学習日
1,○,ストラテジ系,経営戦略,経営戦略マネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q69.html"",""平成30年春期 問69"")",2022/3/16
2,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q29.html"",""平成30年春期 問29"")",2022/3/16
3,○,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q78.html"",""平成30年春期 問78"")",2022/3/16
4,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q42.html"",""平成30年春期 問42"")",2022/3/16
5,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q53.html"",""平成30年春期 問53"")",2022/3/16
6,×,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q76.html"",""平成30年春期 問76"")",2022/3/16
7,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q10.html"",""平成30年春期 問10"")",2022/3/16
8,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q63.html"",""平成30年春期 問63"")",2022/3/16
9,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q43.html"",""平成30年春期 問43"")",2022/3/16
10,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q52.html"",""平成30年春期 問52"")",2022/3/16
11,○,マネジメント系,サービスマネジメント,システム監査,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q58.html"",""平成30年春期 問58"")",2022/3/16
12,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q38.html"",""平成30年春期 問38"")",2022/3/16
13,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q3.html"",""平成30年春期 問3"")",2022/3/16
14,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q49.html"",""平成30年春期 問49"")",2022/3/16
15,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q23.html"",""平成30年春期 問23"")",2022/3/16
16,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q40.html"",""平成30年春期 問40"")",2022/3/16
17,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q71.html"",""平成30年春期 問71"")",2022/3/16
