No.,正誤,分野名,大分類,中分類,出典,学習日
1,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q1.html"",""平成30年秋期 問1"")",2022/3/14
2,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q2.html"",""平成30年秋期 問2"")",2022/3/14
3,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q3.html"",""平成30年秋期 問3"")",2022/3/14
4,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q4.html"",""平成30年秋期 問4"")",2022/3/14
5,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q5.html"",""平成30年秋期 問5"")",2022/3/14
6,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q6.html"",""平成30年秋期 問6"")",2022/3/14
7,×,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q7.html"",""平成30年秋期 問7"")",2022/3/14
8,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q8.html"",""平成30年秋期 問8"")",2022/3/14
9,×,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q9.html"",""平成30年秋期 問9"")",2022/3/14
10,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q10.html"",""平成30年秋期 問10"")",2022/3/14
11,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q11.html"",""平成30年秋期 問11"")",2022/3/14
12,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q12.html"",""平成30年秋期 問12"")",2022/3/14
13,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q13.html"",""平成30年秋期 問13"")",2022/3/14
14,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q14.html"",""平成30年秋期 問14"")",2022/3/14
15,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q15.html"",""平成30年秋期 問15"")",2022/3/14
16,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q16.html"",""平成30年秋期 問16"")",2022/3/14
17,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q17.html"",""平成30年秋期 問17"")",2022/3/14
18,×,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q18.html"",""平成30年秋期 問18"")",2022/3/14
19,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q19.html"",""平成30年秋期 問19"")",2022/3/14
20,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q20.html"",""平成30年秋期 問20"")",2022/3/14
21,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q21.html"",""平成30年秋期 問21"")",2022/3/14
22,×,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q22.html"",""平成30年秋期 問22"")",2022/3/14
23,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q23.html"",""平成30年秋期 問23"")",2022/3/14
24,○,テクノロジ系,技術要素,ヒューマンインタフェース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q24.html"",""平成30年秋期 問24"")",2022/3/14
