No.,正誤,分野名,大分類,中分類,出典,学習日
1,×,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q1.html"",""平成27年秋期 問1"")",2022/3/24
2,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q2.html"",""平成27年秋期 問2"")",2022/3/24
3,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q3.html"",""平成27年秋期 問3"")",2022/3/24
4,×,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q4.html"",""平成27年秋期 問4"")",2022/3/24
5,×,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q5.html"",""平成27年秋期 問5"")",2022/3/24
6,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q6.html"",""平成27年秋期 問6"")",2022/3/24
7,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q7.html"",""平成27年秋期 問7"")",2022/3/24
8,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q8.html"",""平成27年秋期 問8"")",2022/3/24
9,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q9.html"",""平成27年秋期 問9"")",2022/3/24
10,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q10.html"",""平成27年秋期 問10"")",2022/3/24
11,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q11.html"",""平成27年秋期 問11"")",2022/3/24
12,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q12.html"",""平成27年秋期 問12"")",2022/3/24
13,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q13.html"",""平成27年秋期 問13"")",2022/3/24
14,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q14.html"",""平成27年秋期 問14"")",2022/3/24
15,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q15.html"",""平成27年秋期 問15"")",2022/3/24
16,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q16.html"",""平成27年秋期 問16"")",2022/3/24
17,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q17.html"",""平成27年秋期 問17"")",2022/3/24
18,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q18.html"",""平成27年秋期 問18"")",2022/3/24
19,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q19.html"",""平成27年秋期 問19"")",2022/3/24
